Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Петро Порошенко,Петро Порошенко,4770,2
Порошенко2019,Порошенко2019,4743,1
Телеграм канал,Сіверський Тарас,972,34
Вадим Новинский,Вадим Новинский,900,3
Яценко Антон,Яценко Антон,811,14
Leonid Chernovetskyi,Leonid Chernovetskyi,700,2
Яценко Антон,Yatsenko Anton,692,8
Борис Колесников / Borys Kolesnikov,Борис Колесников / Borys Kolesnikov,509,3
Telegram канал,Сизов Евгений,507,28
Андрій Садовий,Об'єднання "Самопоміч",500,1
Політичні війни,Центр соціальних медіа і аналітики «Політичні Війни»,422,4
Олександр Вілкул,Олександр Вілкул,375,3
Слово і Діло,Слово і Діло,367,37
Блок Петра Порошенка Солідарність,Блок Петра Порошенка Солідарність,343,5
Воєнний кабінет Юлії Тимошенко,Воєнний кабінет Юлії Тимошенко,260,8
Володимир Доманський - публічна сторінка,Доманський Володимир,225,11
Політична партія "Всеукраїнське об'єднання "Факел",Олександр Крамар,185,4
Громадська ініціатива "Захисти Україну",Іван Кішка,181,1
Ігор Васюник,ПРИВАТНЕ ПІДПРИЄМСТВО "АГЕНЦІЯ "ПАРТНЕР",175,3
Олександр Шевченко,Олександр Шевченко,165,3
IMEE-analytics,IMEE-analytics,148,2
Олексій Мушак,Dmytro Fedorenko,147,7
Uaprom,Uaprom,133,13
Telegram,Андрій Дзядикевич,128,4
УКРОП Українське об'єднання патріотів,УКРОП Українське об'єднання патріотів,122,11
Юрій Чмирь,Liubov Karpenko,120,1
Політика по-українськи,Marktiyan Matviykiv,115,6
Сегодня,Сегодня Multimedia,113,27
Юлія Тимошенко,ТОВ «Сучасні рекламні рішення»,112,3
Андреенков Виктор,Виктор Андреенков,106,8
Игорь Дятлов,Катерина Колпакова,102,4
Светлана Бедлецкая,Svitlana Bedletska,≤100,1
Сергей Васильевич Кивалов,Сергій Ківалов,≤100,5
Спільна Справа,ГО "Всеукраїнське об'єднання Спільна Справа",≤100,1
Китайский Лейтенант,Андрій Сахаров,≤100,34
espreso.tv,espreso.tv,≤100,4
Маркер Украина,Маркер Украина,≤100,7
Текстер,Артем Лисак,≤100,1
Харьков. Комментарии,Харьков. Комментарии,≤100,13
Алексей Гончаренко,Алексей Гончаренко,≤100,3
Олег Недава,nt,≤100,9
Телеграм,Шторм Диджитал,≤100,3
Центр Протидії Корупції,Центр Протидії Корупції,≤100,4
Люди важливі,Люди важливі,≤100,6
Ігор Шевченко,Ігор Шевченко,≤100,2
Олесь Маляревич,Олесь Маляревич,≤100,1
Евгений Мураев,Евгений Мураев,≤100,1
Телеграм канал,These ads ran without a disclaimer,≤100,7
Wasabi Technologies Inc.,These ads ran without a disclaimer,≤100,2
Peter Zalmayev,Peter Zalmayev,≤100,10
Сергей Ларин,Serghii Larin,≤100,1
Канал в Telegram,Dmytro Polyanychko,≤100,2
Юрій Левченко,Юрій Левченко,≤100,4
"Тарас Костанчук, голова ПП ""Партія Захисників України""","Тарас Костанчук, голова ПП ""Партія Захисників України""",≤100,5
"ПАП - Порошенко, Аваков, Пашинський",sladosti.com.ua,≤100,1
Новости Украины и Мира,Новости Украины и Мира,≤100,1
Стасюк Роман офіційна сторінка депутата,Роман Стасюк,≤100,4
Петро Кузик,Омеляненко Маргарита,≤100,2
Zabeba.li,ООО Шторм Диджитал,≤100,2
Об'єднання "Самопоміч" - Одеса,Об'єднання Самопоміч - Одеса,≤100,1
Богдан Матківський,Володимир Остапенко,≤100,6
Громадська приймальня народного депутата України Віталія Івановича Гудзенка,Максим Мельниченко,≤100,3
Владимир Величко,Володимир Величко,≤100,4
Ренат Кузьмин,Ренат Кузьмiн,≤100,1
Информатор,ООО Шторм Диджитал,≤100,2
Микола Кучер/Mykola Kucher,Маргарита Борисенко,≤100,1
Get The Trolls Out,These ads ran without a disclaimer,≤100,1
CUBE - клубы виртуальной реальности. HTC Vive,Шурдуков Артур,≤100,1
Українська Галицька Партія. Київ,Українська Галицька Партія. Київ,≤100,2
Стоянов Вадим,ВО "Свобода",≤100,1
Детектор медіа,Юлiя Зелiнська,≤100,6
Олег Кулініч,Олег Кулініч,≤100,1
Олексій Матюшенко,Олексій Матюшенко,≤100,2
Єдність,emoment,≤100,1
Всеукраїнський громадський рух "Сила права",Всеукраїнський громадський рух "Сила права",≤100,1
Андрій Кисіль-сторінка,Андрій Кисіль,≤100,3
Ігор Гузь - офіційна сторінка,Ігор Гузь - офіційна сторінка,≤100,2
Громадський Контроль,Громадський Контроль,≤100,1
Hoвини,These ads ran without a disclaimer,≤100,1
Зе сообщество  Слуга Народа  45+,Sergiy Shumsky,≤100,3
Телеграм канал,These ads ran without a disclaimer,≤100,5
Анатолий Івахно,Ольга Слюсаренко,≤100,2
ZPOST,ZPOST,≤100,7
Відсіч,Artur Pereverziev,≤100,1
UkraineWorld,NGO Internews Ukraine,≤100,1
УКРОП Запоріжжя,УКРОП Українське об'єднання патріотів,≤100,5
Защитим русский язык в Украине,Андрiй Iванов,≤100,2
Глобальный еврейский онлайн центр Jewish.Ru,These ads ran without a disclaimer,≤100,1
Громадянський Рух "CВІДОМІ",Melnyk Daryna,≤100,3
Експерт-КР - експертне відео про Кривий Ріг,Експерт-КР - експертне відео про Кривий Ріг,≤100,2
Республіка,Oleksandr Shcherba,≤100,2
Сергій Каплін,Сергій Каплін,≤100,2
Save Dnipro,Save Dnipro,≤100,1
Periscope UA,Periscope UA,≤100,3
theБабель,theБабель,≤100,2
Perepichka News,Perepichka,≤100,5
Годный.COM,TRIBUNE Communications,≤100,1
Соціальна Справедливість м.Суми,Yevhen Kulik,≤100,4
Антикорупційний блок учасників АТО,Антон Сосницький,≤100,1
Михайло Поперечнюк,Михайло Поперечнюк,≤100,2
ВО "Свобода" - Рівненська обласна організація,ВО "Свобода" - Рівненська організація,≤100,1
Instagram,These ads ran without a disclaimer,≤100,15
Володимир Пилипенко,Володимир Пилипенко,≤100,1
Соціалісти. Політична партія,Соціалісти. Політична партія,≤100,4
Громадський Патруль,ГО "Ініціативний рух "Громадський патруль",≤100,1
Український центр суспільного розвитку,Український центр суспільного розвитку,≤100,2
Георгий Селянин,Георгий Селянин,≤100,6
Волинь.Солідарність,Мирка Іван,≤100,1
Зе сообщество Слуга Народа 35+  _Одесская область_,Sergiy Shumsky,≤100,1
Оппозиционный Блок. Николаев,Катерина Колпакова,≤100,1
1NEWS - цікаві Факти та важливі Новини,1NEWS,≤100,1
Вичерпно,Вичерпно,≤100,1
Твій Дім. Практика.,Анатолій Гуцул,≤100,4
Тарас Виноградник,Акiмов Геннадiй,≤100,4
Партія "Відродження",Партія "Відродження",≤100,1
Микола Бабенко,Ірина Прохорчук,≤100,1
Українська Галицька Партія,Українська Галицька Партія,≤100,4
Микола Томенко,These ads ran without a disclaimer,≤100,1
ПРАВО НА ВЛАДУ,1+1 media,≤100,1
ДемАльянс,ДемАльянс (Демократичний альянс),≤100,1
Zabeba.li,Storm Digital LLC,≤100,1
Типичный Кривой Рог Типовий Кривий Ріг,Олександр Iгнатенко,≤100,1
Я Маю Право Голосу,IFES Ukraine,≤100,2
Artkot,These ads ran without a disclaimer,≤100,2
I Love Crowdfunding Projects,These ads ran without a disclaimer,≤100,6
Івано-Франківська Крайова організація НРУ,Акiмов Геннадiй,≤100,3
Мукачівська міська рада,Мукачівська міська рада,≤100,1
Сергій Воронов,Сергей Воронов,≤100,1
УКРОП Тернопільщина,УКРОП Тернопільщина,≤100,1
Правий Сектор / Київська область,Кирило Калашник,≤100,1
Віктор Балога,Політична партія "Єдиний Центр",≤100,1
Григорий Гриншпун,These ads ran without a disclaimer,≤100,1
Begemot,Begemot,≤100,3
Coco Bowl,These ads ran without a disclaimer,≤100,3
Андрій Цибульський,Цибульський Андрій,≤100,1
Интернет-магазин Temnikova,These ads ran without a disclaimer,≤100,1
Харківська правозахисна група (ХПГ),Денис Волоха,≤100,2
Ukraine GO,Віталій Шулепов,≤100,1
Володимир,These ads ran without a disclaimer,≤100,1
Kiev_info24,Yurii Melnyk,≤100,1
Асабісты капітал,These ads ran without a disclaimer,≤100,1
Опять 2ц5,These ads ran without a disclaimer,≤100,1
Володимир Гергелюк,Herheliuk Volodymyr,≤100,1
The Reklama,These ads ran without a disclaimer,≤100,2
Сила правди,Юрій Горбач,≤100,1
Чхало Татьяна,These ads ran without a disclaimer,≤100,1
Eurasia.expert,These ads ran without a disclaimer,≤100,1
Nano Lybrex,Igor Skrypnik,≤100,1
Днепр наизнанку,Storm Digital LLC,≤100,1
SendGrid,SendGrid,≤100,1
VoxUkraine,These ads ran without a disclaimer,≤100,1
"ГО ""Офіцери, громадяни, вільна Україна""",These ads ran without a disclaimer,≤100,1
GigaCloud,These ads ran without a disclaimer,≤100,1
Education For Conservation,These ads ran without a disclaimer,≤100,1
Геннадий Труханов,These ads ran without a disclaimer,≤100,1
MAG Audio.,These ads ran without a disclaimer,≤100,1
Our Faith,These ads ran without a disclaimer,≤100,15
hueviy_kiev,These ads ran without a disclaimer,≤100,1
Heavy Consequence,These ads ran without a disclaimer,≤100,2
ИП Нарышкин Д.Э.,These ads ran without a disclaimer,≤100,2
Полк Победы,Андрiй Iванов,≤100,1
Esri,These ads ran without a disclaimer,≤100,1
Piper Hays,These ads ran without a disclaimer,≤100,1
Wake Up World & Smell the Coffee,Wake Up World & Smell The Coffee,≤100,1
Orbex,These ads ran without a disclaimer,≤100,1
Компьютерная школа Hillel,These ads ran without a disclaimer,≤100,2
Naturally Henna,These ads ran without a disclaimer,≤100,6
美麗日報 Beauties of Life,美麗日報,≤100,2
Наше Місто,These ads ran without a disclaimer,≤100,1
Earthy,These ads ran without a disclaimer,≤100,2
В курсе всего,These ads ran without a disclaimer,≤100,1
Інформаційний Акцент,These ads ran without a disclaimer,≤100,1
Bellabeat,These ads ran without a disclaimer,≤100,1
Glasgow Afghan United,These ads ran without a disclaimer,≤100,1
Trang Banana,These ads ran without a disclaimer,≤100,8
«Редакція»,These ads ran without a disclaimer,≤100,1
My Final Bag,These ads ran without a disclaimer,≤100,3
Sustainable Living Guide,These ads ran without a disclaimer,≤100,1
Express You,These ads ran without a disclaimer,≤100,2
Kialo,These ads ran without a disclaimer,≤100,10
TruWood,These ads ran without a disclaimer,≤100,6
العربية برامج - Al Arabiya Programs,These ads ran without a disclaimer,≤100,2
We Are Faithful Bliss,These ads ran without a disclaimer,≤100,17
Журнал "Бізнес",These ads ran without a disclaimer,≤100,1
The Rotten Fruit Box,These ads ran without a disclaimer,≤100,1
Олександр Ганущин,These ads ran without a disclaimer,≤100,1
Sand Cloud,These ads ran without a disclaimer,≤100,8
Freaky Label,These ads ran without a disclaimer,≤100,6
Fishdom,These ads ran without a disclaimer,≤100,4
National Parks Conservation Association,National Parks Conservation Association,≤100,1
The Premium Essentialz,These ads ran without a disclaimer,≤100,3
Підслухано в Олевську I Інформаційно-аналітичний вісник,These ads ran without a disclaimer,≤100,1
Halocheck,These ads ran without a disclaimer,≤100,1
Zox,These ads ran without a disclaimer,≤100,1
Minnesota House DFL Campaign,"the DFL House Caucus, 255 East Plato Blvd, Saint Paul, MN 55107.",≤100,7
Universal Lacrosse,These ads ran without a disclaimer,≤100,1
Protect animal,These ads ran without a disclaimer,≤100,1
Иисус без границ,JESUS UNLTD,≤100,4
Черкаська обласна партійна організація Аграрної партії України,These ads ran without a disclaimer,≤100,1
Человек xer,These ads ran without a disclaimer,≤100,2
Flyer Contest 2019 Global Competition,These ads ran without a disclaimer,≤100,1
Прес-служба народного депутата України Володимира Бандурова,These ads ran without a disclaimer,≤100,1
SV4IE,These ads ran without a disclaimer,≤100,1
Save The Bees,Bee Site,≤100,8
Качур Дмитро,These ads ran without a disclaimer,≤100,1
Climate Freak,These ads ran without a disclaimer,≤100,5
Hillsdale College,Hillsdale College,≤100,3
