Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Команда Зеленського,ГО "Команда Зеленського",79324,1877
Успішна Україна,Петро Порошенко,56599,28
Міністерство бариг,Міністерство бариг,55637,53
Цинічний Бандера,Цинічний Бандера,45559,31
Порошенко2019,Порошенко2019,40288,29
Жовта Стрічка,Жовта Стрічка,36631,16
Олександр Шевченко,Олександр Шевченко,34588,131
Zelenka,Zelenka,32853,20
Слуга урода,These ads ran without a disclaimer,31906,47
Юрий Бойко,Виборчий фонд кандидата на пост Президента України Бойка Юрія Анатолійовича,28298,225
Зрада/Перемога,Зрада/Перемога,25057,27
Петро Порошенко,Петро Порошенко,24526,32
Юлія Тимошенко,ТОВ «Сучасні рекламні рішення»,21517,26
Юрій Дерев'янко,Юрій Дерев'янко,21470,261
Анатолій Гриценко,Анатолій Гриценко,19154,20
Олександр Шевченко,These ads ran without a disclaimer,18308,36
Бойкот Партии Регионов,Бойкот Партии Регионов,16535,35
Сергій Тарута – Sergiy Taruta,Sergiy Taruta,12475,52
За Зеленського,За Зеленського,9709,42
Юрій Дерев'янко,These ads ran without a disclaimer,9152,225
АнтіПор,These ads ran without a disclaimer,8572,8
НевірЮ,These ads ran without a disclaimer,8306,12
ДемАльянс,ДемАльянс,7854,28
Оппозиционный Блок,Оппозиционный Блок,6825,15
Успішна Україна,These ads ran without a disclaimer,6687,17
Телеграм канал,Назар Сiверський,6652,102
Юрий Бойко,These ads ran without a disclaimer,6285,203
Яценко Антон,Яценко Антон,5481,98
Telegram канал,Сизов Евгений,5480,64
Юлія Тимошенко,These ads ran without a disclaimer,5243,37
Я за Тимошенко - Фан Клуб,These ads ran without a disclaimer,5049,19
Команда Зеленського,These ads ran without a disclaimer,4953,111
Олег Ляшко,Фонд кандидата на пост Президента України Ляшко О.В.,4743,35
Я за Тимошенко - Фан Клуб,ГО "Я за Тимошенко - Фанклуб",4441,17
Гібридна політика,These ads ran without a disclaimer,4407,43
Tut News,TUT NEWS UA,4407,12
Вінниччина з Порошенко,ГО "Суспільний погляд",4236,38
Kyiv Security Forum,Open Ukraine,3833,14
Ігор Шевченко,Ігор Шевченко,3730,29
Баронеса Брехні,These ads ran without a disclaimer,3575,6
Петро Порошенко,These ads ran without a disclaimer,3446,9
Блок Петра Порошенка Солідарність,Блок Петра Порошенка Солідарність,3318,29
Жовта Стрічка,These ads ran without a disclaimer,3312,2
Китайский Лейтенант,Андрій Сахаров,3115,197
Гірка Правда,ГО "Подільска розбудова",2978,12
Олег Ляшко,These ads ran without a disclaimer,2924,26
ЮлеСтоп,These ads ran without a disclaimer,2862,6
Віталій Купрій,These ads ran without a disclaimer,2814,5
А ТИ ЗНАВ?,А ТИ ЗНАВ?,2693,16
Воєнний кабінет Юлії Тимошенко,Воєнний кабінет Юлії Тимошенко,2651,36
Яценко Антон,Yatsenko Anton,2605,21
УКРОП Українське об'єднання патріотів,УКРОП Українське об'єднання патріотів,2430,117
Всеукраїнський громадський рух "Сила права",Всеукраїнський громадський рух "Сила права",2325,9
Борис Колесников / Borys Kolesnikov,Борис Колесников / Borys Kolesnikov,2260,17
Новости Украины и Мира,Новости Украины и Мира,2170,28
"Тарас Костанчук, голова ПП ""Партія Захисників України""","Тарас Костанчук, голова ПП ""Партія Захисників України""",2148,49
Юлія Тимошенко,These ads ran without a disclaimer,2115,11
Анатолій Гриценко,These ads ran without a disclaimer,2070,23
Опозиційна Платформа - ЗА ЖИТТЯ м. Київ,Виборчий фонд кандидата на пост Президента України Бойка Юрія Анатолійовича,2030,2
Руслан Кошулинський,ВО "Свобода",1975,16
Команда Зеленського у Харковi,ГО "Команда Зеленського у Харкові",1949,26
Тверезий погляд,ГО "Подільска розбудова",1936,13
Бенін клоун,These ads ran without a disclaimer,1885,6
Олександр Вілкул,These ads ran without a disclaimer,1725,23
Ігор Васюник,ПРИВАТНЕ ПІДПРИЄМСТВО "АГЕНЦІЯ "ПАРТНЕР",1701,19
Спільна Справа,ГО "Всеукраїнське об'єднання Спільна Справа",1695,5
Кандидаты,These ads ran without a disclaimer,1683,22
ДемАльянс,These ads ran without a disclaimer,1663,6
Україна Сьогодні,These ads ran without a disclaimer,1601,26
Telegram канал,These ads ran without a disclaimer,1595,68
1NEWS - цікаві Факти та важливі Новини,1NEWS,1566,11
Руслан Кошулинський,These ads ran without a disclaimer,1528,8
Igor Soloviov,These ads ran without a disclaimer,1499,3
